family,retained_rows,retained_PI_rows,unique_genera,unique_species
Solanaceae,112,13,6,38
Fabaceae,75,8,3,20
Brassicaceae,42,11,5,25
Orchidaceae,30,14,13,42
Boraginaceae,29,2,2,10
Ranunculaceae,27,3,1,14
Caryophyllaceae,26,6,4,22
Myrtaceae,22,2,2,23
Onagraceae,16,4,2,11
Costaceae,16,3,1,10
Ericaceae,15,4,3,13
Loasaceae,15,1,1,7
Asteraceae,14,8,7,21
Polemoniaceae,14,5,3,15
Phrymaceae,11,5,2,14
Alismataceae,9,1,1,6
Crassulaceae,9,1,1,5
Salicaceae,7,2,1,5
Oxalidaceae,6,2,1,7
Gesneriaceae,5,2,2,7
Orobanchaceae,5,3,2,9
Apocynaceae,4,1,1,4
Verbenaceae,4,1,1,5
Gentianaceae,4,1,1,3
Fagaceae,4,1,1,5
Iridaceae,3,2,1,5
Betulaceae,3,1,1,3
Araceae,3,1,1,3
Plantaginaceae,3,2,2,6
Casuarinaceae,3,1,1,3
Lamiaceae,2,2,1,4
Primulaceae,2,1,1,4
Convolvulaceae,2,2,1,4
Poaceae,2,1,1,3
Cactaceae,1,1,1,2
Bromeliaceae,1,1,1,2
Calceolariaceae,1,1,1,2
Bignoniaceae,1,1,1,2
Asphodelaceae,1,1,1,2
Amaryllidaceae,1,1,1,2
Melanthiaceae,1,1,1,2
Geraniaceae,1,1,1,2
Malvaceae,1,1,1,2
Lythraceae,1,1,1,2
Potamogetonaceae,1,1,1,2
Rhamnaceae,1,1,1,2
Scrophulariaceae,1,1,1,2
Rubiaceae,1,1,1,2
Stylidiaceae,1,1,1,2
Zingiberaceae,1,1,1,2
